Filename,Original Size (bytes),DCT Size (bytes),LT Size (bytes),DCT Comp Ratio %,Lapped Comp Ratio %
3.tif,360678,302060,342816,16.252169525172036,4.9523397601184485
5.tif,286740,175354,202878,38.84564413754621,29.24670433145009
9.tif,765450,267352,472874,65.07257168985564,38.222744790646026
8.tif,356976,174060,240098,51.24041952400162,32.7411366590471
1.tif,54968,12648,26068,76.99024887207102,52.57604424392374
2.tif,1286,1860,1930,-44.63452566096424,-50.077760497667185
4.tif,89148,5892,9824,93.39076591735092,88.98012294162517
7.tif,1049286,43038,43038,95.89835373768449,95.89835373768449
6.tif,430068,128678,227610,70.0796153166476,47.07581126705544
10.tif,360678,314220,340262,12.880741270607018,5.6604505958223115
